code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
300187,永清环保,环境治理,创业板,普通观察,46.8493,38.9646,64.2557,36.2013,2.1971,23.9781,2.5951,0.6147,1.3348,3.6536,0.5364,0.8886,0,有效,1.0000
603290,斯达半导,半导体,主板,价值陷阱复核,46.8471,43.9336,50.9390,45.2524,0.5287,102.6326,2.9058,0.3000,1.4679,4.8897,0.6414,-0.3327,2,有效,1.0000
301056,森赫股份,专用设备,创业板,普通观察,46.7995,29.9773,61.4403,46.5776,2.3810,57.4160,5.0903,1.1019,1.2885,1.0126,0.7172,0.4142,1,有效,1.0000
300602,飞荣达,消费电子,创业板,普通观察,46.7437,36.5007,44.7166,57.5506,0.1809,49.8850,5.1911,0.0967,1.7319,17.9078,0.7288,0.3528,0,有效,1.0000
605555,德昌股份,小家电,主板,价值陷阱复核,46.6796,46.9565,70.3778,22.7441,1.5301,68.3589,2.0430,0.4045,0.6211,1.9579,0.9814,0.0198,2,有效,1.0000
000973,佛塑科技,塑料制品,主板,价值陷阱复核,46.6656,52.4414,30.0540,58.3265,0.0816,30.2873,3.0684,0.2830,1.6913,6.1370,0.6320,-0.3254,2,有效,1.0000
688677,海泰新光,医疗器械,科创板,普通观察,46.5294,23.0561,68.7175,44.4612,1.3902,60.5225,7.8013,0.4553,0.9358,2.2513,0.9676,0.0344,0,有效,1.0000
301153,中科江南,软件开发,创业板,价值陷阱复核,46.4934,54.8363,50.2937,35.5420,0.6421,46.4604,3.4449,0.6031,0.8548,1.4174,0.3926,-0.4611,2,有效,1.0000
000937,冀中能源,煤炭开采加工,主板,价值陷阱复核,46.3923,57.9057,47.4254,35.4906,1.8587,33.8316,0.9333,0.5768,2.0615,2.1651,0.4112,-0.5918,2,有效,1.0000
300275,梅安森,专用设备,创业板,普通观察,46.3606,31.6205,48.7551,56.6005,0.2630,71.5903,2.8433,0.1632,1.1033,7.1401,0.8254,0.2445,0,有效,1.0000
002860,星帅尔,白色家电,主板,普通观察,46.1361,55.8672,62.9762,20.9551,0.7092,31.5735,2.3869,0.1765,0.4344,2.4615,0.9337,0.0719,1,有效,1.0000
301314,科瑞思,通信设备,创业板,价值陷阱复核,46.1142,45.0264,51.0948,42.0661,0.5712,145.7047,2.2972,0.6174,1.2985,1.8621,0.7450,-0.1835,2,有效,1.0000
301301,川宁生物,化学制药,创业板,普通观察,46.0690,43.0454,62.2237,32.5060,1.7061,32.1455,2.3822,0.5017,1.2790,2.5841,0.8224,-0.1217,1,有效,1.0000
300969,恒帅股份,汽车零部件,创业板,普通观察,46.0597,15.7833,52.0933,65.9773,0.2829,82.4424,7.4519,0.1583,1.2093,7.1913,0.8784,0.1323,0,有效,1.0000
600097,开创国际,养殖业,主板,价值陷阱复核,45.9804,42.7185,44.4356,50.3212,0.8803,148.4815,1.0739,0.3150,2.2734,6.9724,0.6121,-0.2745,2,有效,1.0000
688279,峰岹科技,半导体,科创板,普通观察,45.9557,42.7865,55.6316,38.9964,0.3833,67.0687,3.8655,0.3233,0.8308,2.5695,0.8862,0.1388,0,有效,1.0000
688063,派能科技,电池,科创板,价值陷阱复核,45.9122,45.8511,26.0988,65.7779,0.2182,67.1005,1.0817,0.3516,8.0562,6.5421,0.4172,-0.5954,2,有效,1.0000
002767,先锋电子,通用设备,主板,普通观察,45.8361,30.1057,39.2586,65.8970,0.1353,96.1033,3.0974,0.2493,3.1354,18.7369,0.6228,0.3919,0,有效,1.0000
300151,昌红科技,专用设备,创业板,普通观察,45.7539,12.5585,50.4780,69.4829,0.5305,161.7464,5.6905,0.7050,2.9138,4.4177,0.6015,0.2649,0,有效,1.0000
688257,新锐股份,通用设备,科创板,普通观察,45.5035,44.7829,64.6040,27.0207,0.8460,26.6162,6.4033,0.3244,0.6844,2.1101,0.8543,0.1989,1,有效,1.0000
301287,康力源,家居用品,创业板,普通观察,45.3732,33.4919,55.9793,44.9512,1.0067,54.7943,2.4302,0.4032,1.4034,4.0316,0.7327,0.2961,1,有效,1.0000
002981,朝阳科技,消费电子,主板,价值陷阱复核,45.3293,30.0351,48.9582,54.8096,0.5845,115.0914,3.1660,0.3113,1.9340,6.3583,0.8129,-0.1960,2,有效,1.0000
